ticker,signal,model,alpha_annual,alpha_daily,t_stat,p_value,significant,r2,adj_r2,ic,ir,n_obs,low_sample_size,beta_MKT,beta_SMB,beta_HML,beta_MOM
MSFT,signal_trend_pool,FF3,-0.046969,-0.00019089,-39.2039,0.0,True,0.0087,0.004,0.0932,-24.0491,632,False,-0.0007,-0.0001,-0.0015,
MSFT,signal_trend_pool,Carhart4,-0.046932,-0.00019073,-38.4501,0.0,True,0.0095,0.0032,0.0976,-24.0405,632,False,-0.0007,-0.0002,-0.0015,0.0006
MSFT,signal_regime_adaptive,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
MSFT,signal_regime_adaptive,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
MSFT,signal_regime_adaptive,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
MSFT,signal_adaptive,CAPM,-0.085302,-0.00035375,-0.6236,0.532868,False,0.0013,-0.0016,0.0355,-0.5422,349,False,-0.0332,,,
MSFT,signal_adaptive,FF3,-0.073359,-0.00030229,-0.5396,0.589465,False,0.0086,-0.0001,0.0925,-0.468,349,False,-0.0292,0.0822,0.0586,
MSFT,signal_adaptive,Carhart4,-0.073509,-0.00030293,-0.5505,0.581997,False,0.0086,-0.003,0.0926,-0.4689,349,False,-0.0299,0.0827,0.0592,-0.0061
SPY,signal_rsi,CAPM,0.153919,0.00056827,0.7591,0.447806,False,0.009,0.0045,0.0949,0.9068,220,False,-0.0899,,,
SPY,signal_rsi,FF3,0.14166,0.00052587,0.7385,0.46023,False,0.0266,0.0131,0.1631,0.8421,220,False,-0.0439,-0.1931,0.0558,
SPY,signal_rsi,Carhart4,0.167335,0.00061417,0.8961,0.37021,False,0.0505,0.0329,0.2248,1.0072,220,False,-0.0413,-0.2347,0.0855,0.3013
SPY,signal_macd,CAPM,-0.037134,-0.00015015,-0.3941,0.693535,False,0.0168,0.015,0.1298,-0.2443,541,False,-0.1097,,,
SPY,signal_macd,FF3,-0.033473,-0.00013509,-0.3538,0.723477,False,0.0173,0.0118,0.1314,-0.2203,541,False,-0.1106,0.0244,0.0063,
SPY,signal_macd,Carhart4,-0.031687,-0.00012777,-0.3388,0.734751,False,0.0177,0.0104,0.133,-0.2086,541,False,-0.1072,0.0197,0.0077,0.0345
SPY,signal_zscore,CAPM,0.114666,0.00043087,0.6334,0.526493,False,0.0227,0.019,0.1506,0.5926,270,False,-0.1701,,,
SPY,signal_zscore,FF3,0.100767,0.00038105,0.5354,0.592387,False,0.027,0.016,0.1642,0.5219,270,False,-0.1241,-0.0302,0.1073,
SPY,signal_zscore,Carhart4,0.075058,0.00028724,0.4201,0.674392,False,0.0773,0.0633,0.278,0.3992,270,False,-0.0887,-0.1082,0.1438,0.4716
SPY,signal_bb,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
SPY,signal_bb,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
SPY,signal_bb,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
SPY,signal_ensemble,CAPM,0.005228,2.069e-05,0.041,0.967319,False,0.0088,0.0068,0.0939,0.0267,503,False,-0.0969,,,
SPY,signal_ensemble,FF3,0.006715,2.656e-05,0.0528,0.957903,False,0.0111,0.0052,0.1054,0.0343,503,False,-0.0619,-0.0574,0.0781,
SPY,signal_ensemble,Carhart4,0.009697,3.829e-05,0.0774,0.938313,False,0.0146,0.0067,0.1209,0.0496,503,False,-0.0522,-0.0757,0.0788,0.1211
SPY,signal_rsi_vol_trend_gated,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
SPY,signal_rsi_vol_trend_gated,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
SPY,signal_rsi_vol_trend_gated,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
SPY,signal_zscore_vol_bb_gated,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
SPY,signal_zscore_vol_bb_gated,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
SPY,signal_zscore_vol_bb_gated,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
SPY,signal_macd_trend_gated,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
SPY,signal_macd_trend_gated,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
SPY,signal_macd_trend_gated,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
SPY,signal_bb_breakout_gated,CAPM,-0.048214,-0.00019607,-82.531,0.0,True,0.0,-0.0016,0.0054,-66.2007,632,False,0.0,,,
SPY,signal_bb_breakout_gated,FF3,-0.048222,-0.00019611,-81.398,0.0,True,0.0003,-0.0045,0.0172,-66.2203,632,False,0.0001,-0.0001,0.0001,
SPY,signal_bb_breakout_gated,Carhart4,-0.048218,-0.00019609,-82.0228,0.0,True,0.0004,-0.006,0.0196,-66.2172,632,False,0.0001,-0.0001,0.0001,0.0001
SPY,signal_mr_pool,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
SPY,signal_mr_pool,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
SPY,signal_mr_pool,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
SPY,signal_trend_pool,CAPM,-0.048211,-0.00019606,-83.0485,0.0,True,0.0,-0.0016,0.0054,-66.6159,632,False,0.0,,,
SPY,signal_trend_pool,FF3,-0.048219,-0.00019609,-81.9083,0.0,True,0.0003,-0.0045,0.0172,-66.6356,632,False,0.0001,-0.0001,0.0001,
SPY,signal_trend_pool,Carhart4,-0.048214,-0.00019607,-82.5371,0.0,True,0.0004,-0.006,0.0196,-66.6325,632,False,0.0001,-0.0001,0.0001,0.0001
SPY,signal_regime_adaptive,CAPM,-0.048211,-0.00019606,-83.0485,0.0,True,0.0,-0.0016,0.0054,-66.6159,632,False,0.0,,,
SPY,signal_regime_adaptive,FF3,-0.048219,-0.00019609,-81.9083,0.0,True,0.0003,-0.0045,0.0172,-66.6356,632,False,0.0001,-0.0001,0.0001,
SPY,signal_regime_adaptive,Carhart4,-0.048214,-0.00019607,-82.5371,0.0,True,0.0004,-0.006,0.0196,-66.6325,632,False,0.0001,-0.0001,0.0001,0.0001
SPY,signal_adaptive,CAPM,0.026618,0.00010425,0.4308,0.666645,False,0.0131,0.0105,0.1146,0.3365,378,False,-0.057,,,
SPY,signal_adaptive,FF3,0.037953,0.00014783,0.5915,0.554216,False,0.0283,0.0205,0.1682,0.4835,378,False,-0.0628,0.0757,0.0159,
SPY,signal_adaptive,Carhart4,0.04146,0.00016122,0.6359,0.524832,False,0.0333,0.023,0.1826,0.5296,378,False,-0.0563,0.0715,0.0104,0.0647
^GSPC,signal_rsi,CAPM,0.132949,0.00049545,0.6965,0.486088,False,0.0036,-0.0009,0.0596,0.787,225,False,-0.0565,,,
^GSPC,signal_rsi,FF3,0.120772,0.00045255,0.6706,0.502478,False,0.0193,0.006,0.139,0.7206,225,False,-0.0181,-0.1818,0.0424,
^GSPC,signal_rsi,Carhart4,0.144642,0.00053622,0.8155,0.414773,False,0.0333,0.0157,0.1824,0.8693,225,False,-0.0187,-0.2159,0.0657,0.2339
^GSPC,signal_macd,CAPM,-0.036569,-0.00014782,-0.3841,0.700892,False,0.0163,0.0145,0.1279,-0.2376,541,False,-0.1094,,,
^GSPC,signal_macd,FF3,-0.032732,-0.00013205,-0.3423,0.73216,False,0.0168,0.0113,0.1296,-0.2127,541,False,-0.1109,0.0261,0.0055,
^GSPC,signal_macd,Carhart4,-0.0308,-0.00012413,-0.3257,0.744645,False,0.0173,0.01,0.1315,-0.2002,541,False,-0.1071,0.021,0.0071,0.0373
^GSPC,signal_zscore,CAPM,0.074642,0.0002857,0.3759,0.706961,False,0.0077,0.0036,0.0879,0.3634,241,False,-0.0982,,,
^GSPC,signal_zscore,FF3,0.059144,0.00022805,0.2897,0.772076,False,0.0102,-0.0024,0.1008,0.2883,241,False,-0.0604,-0.0549,0.0798,
^GSPC,signal_zscore,Carhart4,0.029055,0.00011366,0.1523,0.878949,False,0.0828,0.0672,0.2877,0.1472,241,False,-0.0212,-0.1557,0.1157,0.5703
^GSPC,signal_bb,CAPM,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,,,
^GSPC,signal_bb,FF3,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,
^GSPC,signal_bb,Carhart4,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0
